year,month,streamflow,,,,,,,,,,,,,,,,,
2001,March,1531.26,,,,,,,,,,,,,,,,,
2001,April,2335.30,,,,,,,,,,,,,,,,,
2001,May,3600.23,,,,,,,,,,,,,,,,,
2001,June,2382.13,,,,,,,,,,,,,,,,,
2001,July,1286.61,,,,,,,,,,,,,,,,,
2001,August,1656.87,,,,,,,,,,,,,,,,,
2001,September,1430.23,,,,,,,,,,,,,,,,,
2002,October,711.71,,,,,,,,,,,,,,,,,
2002,November,456.47,,,,,,,,,,,,,,,,,
2002,December,834.90,,,,,,,,,,,,,,,,,
2002,January,1528.45,,,,,,,,,,,,,,,,,
2002,February,1456.86,,,,,,,,,,,,,,,,,
2002,March,1499.68,,,,,,,,,,,,,,,,,
2002,April,2416.73,,,,,,,,,,,,,,,,,
2002,May,2777.65,,,,,,,,,,,,,,,,,
2002,June,2858.43,,,,,,,,,,,,,,,,,
2002,July,1516.48,,,,,,,,,,,,,,,,,
2002,August,1760.94,,,,,,,,,,,,,,,,,
2002,September,1499.50,,,,,,,,,,,,,,,,,
2003,October,922.84,,,,,,,,,,,,,,,,,
2003,November,793.00,,,,,,,,,,,,,,,,,
2003,December,1055.61,,,,,,,,,,,,,,,,,
2003,January,1175.77,,,,,,,,,,,,,,,,,
2003,February,1462.36,,,,,,,,,,,,,,,,,
2003,March,1374.74,,,,,,,,,,,,,,,,,
2003,April,2294.43,,,,,,,,,,,,,,,,,
2003,May,3780.65,,,,,,,,,,,,,,,,,
2003,June,5045.37,,,,,,,,,,,,,,,,,
2003,July,2374.58,,,,,,,,,,,,,,,,,
2003,August,1854.23,,,,,,,,,,,,,,,,,
2003,September,1300.30,,,,,,,,,,,,,,,,,
2004,October,1248.71,,,,,,,,,,,,,,,,,
2004,November,513.03,,,,,,,,,,,,,,,,,
2004,December,813.26,,,,,,,,,,,,,,,,,
2004,January,1294.26,,,,,,,,,,,,,,,,,
2004,February,1294.69,,,,,,,,,,,,,,,,,
2004,March,2307.90,,,,,,,,,,,,,,,,,
2004,April,2484.43,,,,,,,,,,,,,,,,,
2004,May,2402.97,,,,,,,,,,,,,,,,,
2004,June,2183.37,,,,,,,,,,,,,,,,,
2004,July,1740.68,,,,,,,,,,,,,,,,,
2004,August,1331.68,,,,,,,,,,,,,,,,,
2004,September,1299.83,,,,,,,,,,,,,,,,,
2005,October,1096.23,,,,,,,,,,,,,,,,,
2005,November,1282.47,,,,,,,,,,,,,,,,,
2005,December,1267.29,,,,,,,,,,,,,,,,,
2005,January,1910.71,,,,,,,,,,,,,,,,,
2005,February,2685.39,,,,,,,,,,,,,,,,,
2005,March,4105.32,,,,,,,,,,,,,,,,,
2005,April,4160.30,,,,,,,,,,,,,,,,,
2005,May,10047.87,,,,,,,,,,,,,,,,,
2005,June,9467.53,,,,,,,,,,,,,,,,,
2005,July,5560.42,,,,,,,,,,,,,,,,,
2005,August,2519.35,,,,,,,,,,,,,,,,,
2005,September,1688.53,,,,,,,,,,,,,,,,,
2006,October,1395.55,,,,,,,,,,,,,,,,,
2006,November,997.63,,,,,,,,,,,,,,,,,
2006,December,1428.61,,,,,,,,,,,,,,,,,
2006,January,2819.81,,,,,,,,,,,,,,,,,
2006,February,2179.32,,,,,,,,,,,,,,,,,
2006,March,3489.35,,,,,,,,,,,,,,,,,
2006,April,7179.07,,,,,,,,,,,,,,,,,
2006,May,12137.81,,,,,,,,,,,,,,,,,
2006,June,11373.90,,,,,,,,,,,,,,,,,
2006,July,5549.65,,,,,,,,,,,,,,,,,
2006,August,2201.65,,,,,,,,,,,,,,,,,
2006,September,1541.67,,,,,,,,,,,,,,,,,
2007,October,1522.68,,,,,,,,,,,,,,,,,
2007,November,1098.27,,,,,,,,,,,,,,,,,
2007,December,534.35,,,,,,,,,,,,,,,,,
2007,January,767.52,,,,,,,,,,,,,,,,,
2007,February,431.14,,,,,,,,,,,,,,,,,
2007,March,1108.45,,,,,,,,,,,,,,,,,
2007,April,1597.97,,,,,,,,,,,,,,,,,
2007,May,2300.65,,,,,,,,,,,,,,,,,
2007,June,1700.30,,,,,,,,,,,,,,,,,
2007,July,1444.26,,,,,,,,,,,,,,,,,
2007,August,1102.55,,,,,,,,,,,,,,,,,
2007,September,1280.03,,,,,,,,,,,,,,,,,
2008,October,198.61,,,,,,,,,,,,,,,,,
2008,November,114.57,,,,,,,,,,,,,,,,,
2008,December,469.29,,,,,,,,,,,,,,,,,
2008,January,828.68,,,,,,,,,,,,,,,,,
2008,February,1366.93,,,,,,,,,,,,,,,,,
2008,March,1348.03,,,,,,,,,,,,,,,,,
2008,April,873.07,,,,,,,,,,,,,,,,,
2008,May,4113.48,,,,,,,,,,,,,,,,,
2008,June,2793.47,,,,,,,,,,,,,,,,,
2008,July,2239.45,,,,,,,,,,,,,,,,,
2008,August,2370.48,,,,,,,,,,,,,,,,,
2008,September,881.93,,,,,,,,,,,,,,,,,
2009,October,400.81,,,,,,,,,,,,,,,,,
2009,November,585.87,,,,,,,,,,,,,,,,,
2009,December,454.32,,,,,,,,,,,,,,,,,
2009,January,809.26,,,,,,,,,,,,,,,,,
2009,February,1631.61,,,,,,,,,,,,,,,,,
2009,March,1830.06,,,,,,,,,,,,,,,,,
2009,April,2611.60,,,,,,,,,,,,,,,,,
2009,May,5726.87,,,,,,,,,,,,,,,,,
2009,June,3539.50,,,,,,,,,,,,,,,,,
2009,July,2445.97,,,,,,,,,,,,,,,,,
2009,August,1926.58,,,,,,,,,,,,,,,,,
2009,September,1703.20,,,,,,,,,,,,,,,,,
2010,October,1027.23,,,,,,,,,,,,,,,,,
2010,November,151.37,,,,,,,,,,,,,,,,,
2010,December,494.84,,,,,,,,,,,,,,,,,
2010,January,975.10,,,,,,,,,,,,,,,,,
2010,February,2154.00,,,,,,,,,,,,,,,,,
2010,March,3199.35,,,,,,,,,,,,,,,,,
2010,April,3028.07,,,,,,,,,,,,,,,,,
2010,May,4095.94,,,,,,,,,,,,,,,,,
2010,June,9383.83,,,,,,,,,,,,,,,,,
2010,July,3741.32,,,,,,,,,,,,,,,,,
2010,August,2545.26,,,,,,,,,,,,,,,,,
2010,September,1375.70,,,,,,,,,,,,,,,,,
2011,October,1170.48,,,,,,,,,,,,,,,,,
2011,November,2165.63,,,,,,,,,,,,,,,,,
2011,December,3030.52,,,,,,,,,,,,,,,,,
2011,January,2426.68,,,,,,,,,,,,,,,,,
2011,February,2034.39,,,,,,,,,,,,,,,,,
2011,March,4565.94,,,,,,,,,,,,,,,,,
2011,April,5756.80,,,,,,,,,,,,,,,,,
2011,May,8261.16,,,,,,,,,,,,,,,,,
2011,June,11548.07,,,,,,,,,,,,,,,,,
2011,July,7495.39,,,,,,,,,,,,,,,,,
2011,August,3641.81,,,,,,,,,,,,,,,,,
2011,September,2439.13,,,,,,,,,,,,,,,,,
2012,October,1332.45,,,,,,,,,,,,,,,,,
2012,November,1108.50,,,,,,,,,,,,,,,,,
2012,December,1029.13,,,,,,,,,,,,,,,,,
2012,January,558.00,,,,,,,,,,,,,,,,,
2012,February,574.69,,,,,,,,,,,,,,,,,
2012,March,657.48,,,,,,,,,,,,,,,,,
2012,April,1898.20,,,,,,,,,,,,,,,,,
2012,May,2977.84,,,,,,,,,,,,,,,,,
2012,June,2387.60,,,,,,,,,,,,,,,,,
2012,July,1379.55,,,,,,,,,,,,,,,,,
2012,August,1367.29,,,,,,,,,,,,,,,,,
2012,September,1931.40,,,,,,,,,,,,,,,,,
2013,October,331.97,,,,,,,,,,,,,,,,,
2013,November,316.73,,,,,,,,,,,,,,,,,
2013,December,965.45,,,,,,,,,,,,,,,,,
2013,January,599.87,,,,,,,,,,,,,,,,,
2013,February,868.68,,,,,,,,,,,,,,,,,
2013,March,595.58,,,,,,,,,,,,,,,,,
2013,April,1633.90,,,,,,,,,,,,,,,,,
2013,May,2179.29,,,,,,,,,,,,,,,,,
2013,June,1958.40,,,,,,,,,,,,,,,,,
2013,July,1805.39,,,,,,,,,,,,,,,,,
2013,August,1463.13,,,,,,,,,,,,,,,,,
2013,September,1497.03,,,,,,,,,,,,,,,,,
2014,October,276.13,,,,,,,,,,,,,,,,,
2014,November,217.50,,,,,,,,,,,,,,,,,
2014,December,235.23,,,,,,,,,,,,,,,,,
2014,January,112.00,,,,,,,,,,,,,,,,,
2014,February,70.86,,,,,,,,,,,,,,,,,
2014,March,156.26,,,,,,,,,,,,,,,,,
2014,April,1235.80,,,,,,,,,,,,,,,,,
2014,May,2407.94,,,,,,,,,,,,,,,,,
2014,June,1763.13,,,,,,,,,,,,,,,,,
2014,July,911.45,,,,,,,,,,,,,,,,,
2014,August,776.19,,,,,,,,,,,,,,,,,
2014,September,505.37,,,,,,,,,,,,,,,,,
2015,October,115.90,,,,,,,,,,,,,,,,,
2015,November,165.80,,,,,,,,,,,,,,,,,
2015,December,247.23,,,,,,,,,,,,,,,,,
2015,January,268.77,,,,,,,,,,,,,,,,,
2015,February,325.79,,,,,,,,,,,,,,,,,
2015,March,354.00,,,,,,,,,,,,,,,,,
2015,April,67.97,,,,,,,,,,,,,,,,,
2015,May,52.90,,,,,,,,,,,,,,,,,
2015,June,600.53,,,,,,,,,,,,,,,,,
2015,July,1179.03,,,,,,,,,,,,,,,,,
2015,August,1107.74,,,,,,,,,,,,,,,,,
2015,September,994.23,,,,,,,,,,,,,,,,,
2016,October,47.90,,,,,,,,,,,,,,,,,
2016,November,79.13,,,,,,,,,,,,,,,,,
2016,December,445.55,,,,,,,,,,,,,,,,,
2016,January,668.74,,,,,,,,,,,,,,,,,
2016,February,1249.66,,,,,,,,,,,,,,,,,
2016,March,2584.29,,,,,,,,,,,,,,,,,
2016,April,2261.53,,,,,,,,,,,,,,,,,
2016,May,2681.39,,,,,,,,,,,,,,,,,
2016,June,4070.93,,,,,,,,,,,,,,,,,
2016,July,2018.32,,,,,,,,,,,,,,,,,
2016,August,1227.71,,,,,,,,,,,,,,,,,
2016,September,1317.60,,,,,,,,,,,,,,,,,
2017,October,860.32,,,,,,,,,,,,,,,,,
2017,November,1903.33,,,,,,,,,,,,,,,,,
2017,December,1368.10,,,,,,,,,,,,,,,,,
2017,January,6939.16,,,,,,,,,,,,,,,,,
2017,February,10139.25,,,,,,,,,,,,,,,,,
2017,March,6115.65,,,,,,,,,,,,,,,,,
2017,April,8348.53,,,,,,,,,,,,,,,,,
2017,May,10468.32,,,,,,,,,,,,,,,,,
2017,June,14044.87,,,,,,,,,,,,,,,,,
2017,July,6776.42,,,,,,,,,,,,,,,,,
2017,August,3060.16,,,,,,,,,,,,,,,,,
2017,September,2423.70,,,,,,,,,,,,,,,,,
2018,October,1754.00,,,,,,,,,,,,,,,,,
2018,November,1525.23,,,,,,,,,,,,,,,,,
2018,December,1041.39,,,,,,,,,,,,,,,,,
2018,January,887.13,,,,,,,,,,,,,,,,,
2018,February,427.96,,,,,,,,,,,,,,,,,
2018,March,1745.87,,,,,,,,,,,,,,,,,
2018,April,4491.03,,,,,,,,,,,,,,,,,
2018,May,3591.23,,,,,,,,,,,,,,,,,
2018,June,2548.80,,,,,,,,,,,,,,,,,
2018,July,2266.45,,,,,,,,,,,,,,,,,
2018,August,1569.19,,,,,,,,,,,,,,,,,
2018,September,1436.97,,,,,,,,,,,,,,,,,
2019,October,1186.06,,,,,,,,,,,,,,,,,
2019,November,992.27,,,,,,,,,,,,,,,,,
2019,December,681.23,,,,,,,,,,,,,,,,,
2019,January,940.10,,,,,,,,,,,,,,,,,
2019,February,3164.11,,,,,,,,,,,,,,,,,
2019,March,3981.19,,,,,,,,,,,,,,,,,
2019,April,5262.17,,,,,,,,,,,,,,,,,
2019,May,7664.58,,,,,,,,,,,,,,,,,
2019,June,10737.33,,,,,,,,,,,,,,,,,
2019,July,5103.42,,,,,,,,,,,,,,,,,
2019,August,2657.16,,,,,,,,,,,,,,,,,
2019,September,1938.27,,,,,,,,,,,,,,,,,
